,0
875,280429
876,280430
877,280440
878,280450
879,280461
880,280469
881,280470
882,280480
883,280490
884,280511
885,280519
886,280521
887,280522
888,280530
889,280540
890,280610
891,280620
892,280700
893,280800
894,280910
895,280920
896,281000
897,281111
898,281119
899,281121
900,281122
901,281123
902,281129
903,281210
904,281290
905,281310
906,281390
907,281410
908,281420
909,281511
910,281512
911,281520
912,281530
913,281610
914,281620
915,281630
916,281700
917,281810
918,281820
919,281830
920,281910
921,281990
922,282010
923,282090
924,282110
925,282120
926,282200
927,282300
928,282410
929,282420
930,282490
931,282510
932,282520
933,282530
934,282540
935,282550
936,282560
937,282570
938,282580
939,282590
940,282611
941,282612
942,282619
943,282620
944,282630
945,282690
946,282710
947,282720
948,282731
949,282732
950,282733
951,282734
952,282735
953,282736
954,282737
955,282738
956,282739
957,282741
958,282749
959,282751
960,282759
961,282760
962,282810
963,282890
964,282911
965,282919
966,282990
967,283010
968,283020
969,283030
970,283090
971,283110
972,283190
973,283210
974,283220
975,283230
976,283311
977,283319
978,283321
979,283322
980,283323
981,283324
982,283325
983,283326
984,283327
985,283329
986,283330
987,283340
988,283410
989,283421
990,283422
991,283429
992,283510
993,283521
994,283522
995,283523
996,283524
997,283525
998,283526
999,283529
1000,283531
1001,283539
1002,283610
1003,283620
1004,283630
1005,283640
1006,283650
1007,283660
1008,283670
1009,283691
1010,283692
1011,283693
1012,283699
1013,283711
1014,283719
1015,283720
1016,283800
1017,283911
1018,283919
1019,283920
1020,283990
1021,284011
1022,284019
1023,284020
1024,284030
1025,284110
1026,284120
1027,284130
1028,284140
1029,284150
1030,284160
1031,284170
1032,284180
1033,284190
1034,284210
1035,284290
1036,284310
1037,284321
1038,284329
1039,284330
1040,284390
1041,284410
1042,284420
1043,284430
1044,284440
1045,284450
1046,284510
1047,284590
1048,284610
1049,284690
1050,284700
1051,284810
1052,284890
1053,284910
1054,284920
1055,284990
1056,285000
1057,285100
1058,290110
1059,290121
1060,290122
1061,290123
1062,290124
1063,290129
1064,290211
1065,290219
1066,290220
1067,290230
1068,290241
1069,290242
1070,290243
1071,290244
1072,290250
1073,290260
1074,290270
1075,290290
1076,290311
1077,290312
1078,290313
1079,290314
